"경상북도","시각",15612
"경상북도","청각",37681
"포항시","시각",2516
"포항시","청각",4603
"경주시","시각",1596
"경주시","청각",2964
"김천시","시각",938
"김천시","청각",2212
"안동시","시각",1029
"안동시","청각",2296
"구미시","시각",1518
"구미시","청각",3012
"영주시","시각",691
"영주시","청각",1394
"영천시","시각",719
"영천시","청각",1992
"상주시","시각",695
"상주시","청각",2817
"문경시","시각",608
"문경시","청각",1533
"경산시","시각",1282
"경산시","청각",3120
"군위군","시각",187
"군위군","청각",790
"의성군","시각",466
"의성군","청각",1702
"청송군","시각",241
"청송군","청각",761
"영양군","시각",137
"영양군","청각",549
"영덕군","시각",392
"영덕군","청각",760
"청도군","시각",344
"청도군","청각",1137
"고령군","시각",242
"고령군","청각",886
"성주군","시각",312
"성주군","청각",1009
"칠곡군","시각",573
"칠곡군","청각",1409
"예천군","시각",417
"예천군","청각",1262
"봉화군","시각",264
"봉화군","청각",744
"울진군","시각",389
"울진군","청각",625
"울릉군","시각",56
"울릉군","청각",104
"경상남도","시각",16937
"경상남도","청각",27820
"통합창원시","시각",4555
"통합창원시","청각",7059
"진주시","시각",1621
"진주시","청각",2418
"통영시","시각",771
"통영시","청각",879
"사천시","시각",686
"사천시","청각",889
"김해시","시각",2223
"김해시","청각",3296
"밀양시","시각",760
"밀양시","청각",2002
"거제시","시각",949
"거제시","청각",1188
"양산시","시각",1606
"양산시","청각",2523
"의령군","시각",265
"의령군","청각",505
"함안군","시각",406
"함안군","청각",818
"창녕군","시각",440
"창녕군","청각",1156
"경남-고성군","시각",414
"경남-고성군","청각",625
"남해군","시각",396
"남해군","청각",707
"하동군","시각",399
"하동군","청각",615
"산청군","시각",285
"산청군","청각",567
"함양군","시각",333
"함양군","청각",686
"거창군","시각",433
"거창군","청각",839
"합천군","시각",395
"합천군","청각",1048
"제주특별자치도","시각",4097
"제주특별자치도","청각",6857
"제주시","시각",2831
"제주시","청각",4733
"서귀포시","시각",1266
"서귀포시","청각",2124
